,DevOps,Monitoring,Fintech,Productivity,Note-taking,FinOps,Analytics,Open Source,Enterprise Software,E-commerce,Food & Beverage,Marketing,SEO,Education,Community,Recruiting,Advertising,Social Network,Computer Vision,Marketplace,Real Estate,Collaboration,Security,Enterprise,Email,Travel,Food Service Robots & Machines,Restaurant Tech,Gaming,Social,Messaging,Media,Design Tools,Health & Wellness,Design,AI-powered Drug Discovery,SaaS,Healthcare,Telemedicine,API,Food,Food Tech,B2B,Payments,Developer Tools,E-Commerce,Referrals,Customer Service,Cashierless Checkout,Entertainment,Retail Tech,Music,Hardware,SMB,Finance,Investing,Data Science,Data Engineering,Cloud Computing,Health Tech,Fitness,Retail,Fashion,Documents,Legal,LegalTech,Machine Learning,GraphQL,Video,Sales,AI,Big Data,Databases,Cloud Workload Protection,DevSecOps,Next-gen Network Security,Biotech,Grocery,IoT,Automotive,Proptech,Delivery,Transportation,Location-based,CRM,Telecommunications,Augmented Reality,Insurance,Reviews,Data Visualization,Construction,Payroll,Health Insurance,Defense,Hard Tech,Robotics,Manufacturing,Automation,HR Tech,Agriculture,Crowdfunding,Social Media,Consumer,Nonprofit,Fundraising,Privacy,Women's Health,Kids,No-code,Web Development,Lending,Dating,Coding Bootcamps,Crypto / Web3,Human Resources,Talent Acquisition,SMS,AI Assistant,Apparel,Customization,Diagnostics,Metaverse,eLearning,Edtech,Customer Success,Sustainable Tourism,Sustainability,Electric Vehicles,Personalization,Booking,Calendar,Mobility,Logistics,Supply Chain,3D Printing,Consumer Health Services,Drones,Artificial Intelligence,Biometrics,Time Series,Remote Work,Medical Devices,Team Collaboration,Neurotechnology,Workflow Automation,Subscriptions,Indoor Mapping,Mental Health Tech,Digital Health,Feedback,Remote,Immigration,Femtech,Autonomous Delivery,Climate,Self-Driving Vehicles,Generative AI,Energy Storage,Housing,Networks,Notifications,Beauty,Furniture,NLP,APIs,Sales Enablement,Smart Home Assistants,Ticketing,Deep Learning,Advanced Materials,Small Modular Reactors,Quantum Computing,Synthetic Biology,Compliance,Identity,Fusion Energy,Energy,Navigation,Market Research,International,Genomics,Cellular Agriculture,GovTech,Neobank,Telehealth,AIOps,Genetic Engineering,Biotechnology,Air Taxis,Nanomedicine,Banking as a Service,India,Therapeutics,Mental Health,Conversational AI,Cannabis,Carbon Capture and Removal,Bioplastic,Virtual Reality,Creator Economy,Conversational Banking,Renewable Energy,Drug discovery,Oncology,Solar Power,Kubernetes,Civic Tech,Procurement,Cybersecurity,Fraud Prevention,Fraud Detection,Sleep Tech,Space Exploration,Satellites,Scheduling,Stocks,Primary Care,Vertical Farming,Sustainable Agriculture,Cloud Gaming,China,Smart Locks,ClimateTech,eSports,Blockchain,Autonomous Trucking,Latin America,Chatbots,AI-Enhanced Learning,Diversity & Inclusion,Aerospace,Rocketry,Industrial Workplace Safety,Emerging Markets,Consumer Products,Sports Tech,Operations,Unmanned Vehicle,Home Automation,Trading,Auto Commerce,Live,Reinforcement Learning,Warehouse Management Tech,Nanotechnology,AR,Home Services,Smart Clothing,Sustainable Fashion,Assistive Tech,Cryptography,Customer Support,VR Health,Airlines,Cryptocurrency,Nanosensors,Healthcare IT,Gene Therapy,Microfluidics,Cell Therapy,Industrial,Microinsurance,Airplanes,Alternative Battery Tech,Crowdsourcing,Podcasts,Robotic Process Automation,Remittances,Infrastructure,Fertility Tech,Anti-Aging,Speech Recognition,Radar,Ghost Kitchens,Cyber Insurance,ML,Chat,COVID-19,Ridesharing,Careers,NFT,Robotic Surgery,Drug Delivery,Pediatrics,3D Printed Foods,Culture,Income Share Agreements,Dental,Lab-on-a-chip,Commercial Space Launch,Chatbot,Mining,Consumer Finance,Plant-based Meat,Cultivated Meat,Computational Storage,Regtech,Election Tech,DeFi,IoT Security,Weather,CRISPR,Data Labeling,Alternative Fuels,Medical Robotics,Investments,Geographic Information System,Batteryless IoT Sensors,Edge Computing Semiconductors,"Security Orchestration, Automation and Response (SOAR)",Digital Freight Brokerage,Electronics,Psychedelics,Semiconductors,Maritime,Cultured Meat,Gardening,Search,Billing,Art Trading Platforms,Deepfake Detection,Hydrogen Energy,Clean Meat,Recommendation System,Skincare,Trust & Safety,Architecture,Call Center,DAO,Lidar,Swarm Robotics,Livestock Health
Summer 2015,0,1,14,1,0,1,1,1,1,3,1,0,0,3,1,3,0,0,3,9,0,1,1,0,0,2,2,0,1,0,1,1,2,1,0,0,21,3,1,0,0,0,7,2,7,1,0,0,0,1,1,0,6,0,1,2,1,1,0,4,0,0,1,1,0,4,0,0,3,0,1,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,0,0,3,2,0,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,5,0,0,3,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2016,0,0,10,2,0,0,5,1,0,2,1,3,0,2,3,1,0,0,2,9,2,0,3,1,1,0,0,0,2,1,3,0,2,1,0,1,18,0,1,2,0,2,8,2,7,3,0,1,1,2,1,1,4,0,1,0,0,1,1,4,1,1,1,2,0,0,3,0,3,4,6,1,0,0,0,0,4,1,3,0,1,2,4,0,0,0,0,4,0,0,0,0,0,0,1,3,1,0,1,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,1,4,2,1,3,0,8,0,0,0,4,1,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2016,1,0,10,1,0,0,0,0,3,6,1,0,0,6,1,0,1,0,2,11,2,0,0,4,1,1,0,0,0,1,1,2,0,0,0,0,7,8,0,3,0,0,2,1,1,2,0,1,0,1,0,0,4,1,0,0,1,0,1,4,0,5,1,0,0,1,3,0,3,1,3,0,0,0,0,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,2,0,0,1,3,2,1,1,0,0,0,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,2,0,0,1,1,10,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,3,0,0,0,1,0,0,1,1,1,0,2,1,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2017,1,0,14,1,0,0,2,0,0,2,1,1,0,4,1,2,0,1,3,10,3,0,2,1,0,0,1,0,0,1,2,1,0,0,0,0,12,7,2,3,0,2,11,2,4,3,0,1,0,1,0,1,6,1,2,3,1,0,2,7,0,2,0,0,1,0,4,0,2,0,5,1,0,0,2,0,3,1,5,1,1,2,2,0,0,2,1,2,0,0,0,1,1,0,1,0,3,0,3,2,0,1,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,2,2,4,1,13,1,0,1,3,0,1,1,1,0,2,3,0,0,0,0,1,3,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2017,0,0,13,2,0,0,1,0,0,3,0,1,0,5,0,6,1,1,1,12,1,0,2,0,1,1,1,0,5,4,1,1,0,0,0,0,14,4,0,2,0,2,10,4,3,0,0,2,0,2,1,1,5,0,1,1,0,1,0,4,0,1,1,1,0,0,6,0,3,0,6,0,0,0,0,1,0,0,1,1,2,2,2,0,1,0,2,6,0,0,3,0,0,0,2,2,1,2,1,4,0,3,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,2,0,0,0,2,1,1,0,0,0,2,2,0,4,1,13,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,6,0,2,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2018,0,0,17,1,0,0,4,2,2,8,2,0,0,6,3,1,0,0,1,8,1,4,5,1,0,0,1,0,4,4,2,0,6,1,1,3,20,4,0,1,0,1,17,2,6,0,0,1,0,2,0,0,4,0,0,1,0,0,0,7,0,0,0,2,2,1,9,0,1,0,7,0,0,1,1,0,5,1,0,0,0,0,1,0,0,1,3,3,0,0,1,1,1,0,2,5,2,0,1,2,0,0,9,1,0,0,0,0,1,0,0,0,0,6,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2,2,1,14,0,0,1,5,0,1,1,3,1,2,3,0,0,0,0,0,2,0,3,0,0,1,0,1,2,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,1,1,1,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2018,0,0,15,2,0,1,3,2,1,2,2,0,0,5,0,1,2,0,2,5,3,0,2,2,0,2,0,0,3,2,0,2,2,1,1,1,21,8,0,5,1,2,7,2,7,2,0,0,1,3,1,0,4,1,1,1,0,1,0,2,0,0,0,0,1,1,4,1,0,1,10,0,0,0,0,0,11,2,3,0,1,1,1,1,0,0,2,0,0,0,1,0,0,0,1,2,0,2,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,0,3,0,0,0,1,2,6,5,0,3,2,13,0,0,0,4,0,2,0,1,0,2,4,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,2,1,1,0,0,1,0,1,1,2,2,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2019,1,0,26,8,0,0,3,1,1,5,1,2,0,9,5,5,0,1,4,12,3,4,3,2,0,4,0,1,7,3,0,0,2,1,0,2,36,2,3,5,2,5,28,8,15,3,0,1,0,0,2,0,5,0,3,2,1,2,0,6,0,1,2,0,1,4,7,0,2,2,11,0,0,0,3,0,3,1,5,0,1,4,2,0,2,2,2,3,1,0,1,1,1,1,3,4,1,0,2,1,0,0,10,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,2,0,0,0,1,6,1,0,1,1,18,0,0,0,4,3,1,0,3,0,0,4,0,0,0,0,0,9,0,2,1,3,0,0,1,0,1,0,1,1,0,2,1,1,1,0,1,0,0,1,1,0,0,5,0,0,1,0,1,0,1,2,0,2,2,1,0,0,2,1,0,0,1,0,2,1,0,0,1,0,0,3,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2019,0,0,28,2,0,0,5,7,3,10,1,5,0,8,3,5,1,2,1,11,5,4,1,1,0,0,0,2,4,1,2,3,2,1,0,1,33,4,0,1,0,2,19,4,17,1,0,0,0,2,1,0,10,1,3,1,0,5,1,5,0,2,2,0,1,1,8,0,0,0,9,1,0,0,1,0,3,3,0,0,4,2,0,0,2,0,1,2,0,2,4,1,0,0,4,3,2,1,2,0,0,1,4,1,0,1,2,0,0,0,0,0,0,7,1,2,0,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,5,2,0,6,1,15,0,0,0,2,0,2,2,0,0,1,5,0,1,2,0,0,4,1,4,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,3,1,3,0,2,1,0,0,0,0,0,3,2,1,0,1,0,0,2,1,0,1,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2020,2,0,40,8,0,1,5,5,1,6,0,1,0,5,4,4,2,1,2,19,2,0,2,2,0,2,0,0,3,7,1,1,3,3,0,4,55,7,3,6,0,1,46,4,26,0,0,0,0,4,2,1,2,0,4,2,0,7,0,11,2,3,0,1,0,0,14,0,2,3,21,0,0,1,1,0,10,3,1,0,4,2,2,0,0,1,0,2,0,1,2,0,2,0,2,7,1,2,3,2,0,0,3,1,0,0,0,1,0,0,0,0,0,2,1,0,1,6,0,0,2,0,2,1,0,0,0,1,0,0,1,1,7,3,0,5,2,21,0,0,2,2,0,0,3,1,0,3,1,0,0,0,0,1,7,0,4,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,4,1,0,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,2,7,4,1,1,0,1,1,0,5,0,0,3,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,3,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2020,4,0,41,6,1,0,5,12,3,14,2,2,0,11,1,2,0,1,4,11,1,1,2,5,1,1,0,0,4,6,2,0,2,4,1,2,69,8,1,5,0,3,58,6,24,1,0,0,0,5,1,0,4,1,1,0,2,7,1,7,3,1,2,1,0,2,13,0,4,2,15,1,2,0,4,0,4,1,2,0,3,6,2,0,1,1,1,1,0,3,4,0,1,0,4,1,2,1,4,1,0,0,5,1,0,0,0,2,2,0,0,0,0,3,0,1,0,1,0,0,2,1,3,0,0,0,0,3,1,0,0,0,2,5,1,4,0,13,1,1,0,4,1,0,2,1,0,2,7,0,0,0,0,1,7,0,7,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2021,0,1,58,8,1,3,8,13,4,19,2,4,0,14,7,7,0,1,4,20,4,2,5,4,2,3,1,1,5,2,0,2,7,2,1,1,95,11,5,8,2,4,78,9,34,1,0,2,0,1,1,1,6,1,3,1,0,7,2,8,2,1,0,3,2,4,10,0,4,5,25,0,1,1,2,0,5,4,3,0,7,4,0,0,0,3,1,5,0,1,5,0,1,1,10,9,2,4,5,1,0,3,14,2,0,2,0,1,1,2,3,1,0,7,3,0,0,5,0,0,2,0,12,4,2,0,0,5,0,0,0,2,11,6,0,13,0,41,0,0,2,2,1,2,3,9,0,3,10,1,2,0,1,1,13,1,5,2,2,0,0,2,0,2,2,1,0,0,5,0,0,0,0,4,2,0,4,0,1,0,0,0,2,4,2,1,0,0,0,1,2,3,1,0,1,0,2,0,1,1,0,1,3,1,0,1,0,2,1,0,0,1,2,4,2,0,0,0,0,0,0,0,2,0,0,2,3,0,3,0,2,0,0,1,0,2,1,0,0,1,0,1,0,2,0,1,1,0,1,0,0,2,0,0,1,0,4,1,0,0,0,1,1,0,0,0,4,0,6,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2021,3,0,81,12,0,6,12,8,4,25,1,4,1,18,12,6,2,1,5,33,1,3,7,4,1,2,2,1,2,1,2,1,2,10,1,7,120,15,5,7,1,3,102,14,33,1,0,0,0,2,0,0,6,0,5,5,1,9,1,10,3,3,0,1,0,2,21,0,4,7,36,3,1,1,1,0,15,5,1,0,8,8,1,0,1,2,1,3,0,2,4,2,4,3,8,3,4,1,7,1,0,0,12,0,0,1,4,1,7,2,3,0,0,9,1,1,0,9,0,0,3,0,8,0,2,0,3,1,0,0,1,0,3,4,0,21,2,44,1,0,3,12,0,0,2,4,0,8,10,0,0,0,0,1,19,0,14,0,1,0,0,1,0,1,1,4,0,0,0,0,0,0,4,2,1,0,2,0,2,1,3,0,4,3,5,3,0,2,0,0,1,0,7,2,1,0,4,0,1,4,0,1,2,1,2,0,0,1,3,0,1,2,4,1,0,2,3,0,0,0,0,0,3,0,0,0,1,0,5,0,3,0,1,0,2,0,2,0,0,2,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,1,0,3,0,1,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter 2022,2,0,93,12,1,3,17,11,7,25,0,12,2,8,3,2,4,0,1,32,9,4,11,9,2,4,0,0,9,6,1,1,3,2,1,1,107,20,6,17,1,7,102,18,34,1,0,2,1,7,0,2,10,1,5,6,1,12,5,12,0,1,1,1,2,3,25,0,3,13,56,0,1,0,3,2,10,1,2,1,14,5,3,0,1,0,0,8,0,0,10,1,0,0,11,5,7,1,7,2,0,0,40,1,0,3,1,0,2,1,3,0,0,16,2,0,1,12,0,0,2,1,4,1,3,1,0,4,0,0,0,1,12,6,0,11,1,50,1,0,1,7,0,3,2,5,0,6,13,0,0,0,1,0,20,0,12,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,7,3,0,4,0,1,0,2,2,3,13,3,5,0,1,0,0,6,4,4,0,2,0,2,0,4,4,0,1,4,1,3,2,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,1,0,2,0,0,2,0,0,1,2,0,0,1,0,0,0,2,3,0,0,3,0,2,2,0,1,1,1,1,0,0,0,1,1,6,0,0,2,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,3,0,4,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,2,1,1,1,1,1,1,2,0,0,0
Summer 2022,0,0,53,14,0,2,11,13,5,7,0,4,0,3,2,2,1,0,3,5,8,2,4,11,0,0,0,0,5,2,3,0,0,0,0,1,68,8,0,15,0,4,88,15,24,0,0,0,0,1,0,0,2,0,3,2,0,7,2,8,0,2,0,3,1,3,11,0,2,13,43,1,1,0,2,0,8,1,0,2,7,2,2,0,1,1,1,5,0,0,3,1,0,0,2,3,3,3,4,1,0,0,18,1,0,0,0,0,4,1,1,0,0,13,2,0,0,10,0,0,2,1,1,0,1,0,0,0,0,0,0,0,8,4,0,2,1,47,0,0,0,3,0,0,5,1,0,1,6,0,0,0,2,0,7,0,22,0,1,0,0,0,0,2,0,4,0,0,1,0,0,0,3,8,4,0,4,1,0,0,0,0,2,7,3,2,0,1,0,0,2,0,7,0,1,0,1,1,2,3,0,1,1,3,2,1,0,0,1,1,2,0,1,2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,3,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,2,0,0,1,0,0,2,0,0,1,2,0,3,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Winter 2023,5,2,35,12,0,4,16,20,8,8,1,6,0,2,0,0,3,0,3,10,5,5,4,15,0,0,0,1,2,1,0,3,4,0,1,2,86,13,1,14,0,2,98,13,49,0,0,2,0,2,0,0,0,1,13,5,1,6,4,10,2,5,1,4,1,2,12,1,5,10,62,0,0,0,2,0,7,1,0,1,7,1,2,0,1,1,0,3,0,4,2,2,2,0,2,1,2,7,4,0,0,1,12,0,2,1,1,0,3,1,0,0,0,5,0,0,0,17,0,0,1,0,2,1,7,0,0,2,0,0,0,0,5,2,0,3,1,61,0,0,1,0,0,0,5,2,0,2,4,0,0,0,0,0,8,0,49,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,6,0,0,1,0,1,0,0,0,0,3,1,5,0,0,0,0,0,1,2,0,3,0,0,0,0,3,0,2,3,2,2,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,0,0,1,1,0,2,0,0,1,0,0,2,1,2,0,1,0,0,0,0,7,0,0,2,0,0,1,1,1,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Summer 2023,3,1,22,6,0,1,10,11,11,2,1,10,0,4,0,3,2,0,3,3,3,0,3,7,0,2,0,1,2,0,0,1,2,3,3,1,43,20,0,10,1,0,52,7,32,0,0,1,0,2,0,0,1,1,5,1,5,5,1,12,0,3,0,1,3,2,11,0,3,11,62,2,5,0,1,0,6,1,0,1,3,1,1,0,2,1,0,2,0,4,4,2,5,0,2,0,3,7,4,1,0,0,8,0,0,1,1,0,1,4,0,0,0,1,0,0,1,13,0,0,1,0,1,2,0,0,0,0,0,0,0,0,7,4,0,5,0,74,0,0,0,3,1,0,5,1,0,0,6,0,0,0,0,0,5,0,29,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,6,0,0,4,0,1,0,0,0,2,3,1,6,1,0,0,1,1,1,1,0,3,0,0,0,0,0,1,1,0,0,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,3,1,12,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0
